Sr.No,District,Town,Name of Sewerage Project,Scheeme Type,Mode of Project,Date of Sanction,Sanction cost (In Cr.),work Cost (In Cr.),Centage (In Cr.),O & M Cost (In Cr.),No. of STP,STP Capacity,No.Of Drains,Agency Name,Agreement Cost,Remark
1,Ayodhya,Ayodhya,"I&D of Drains at Ayodhya-Ayodhya. DBOT, NGP",NGP,DBOT,11-Jun-2018,37.67,16.26,1.10,20.31,0,0.00,5,M/S Satish kumar &co.,29.03,
2,Ayodhya,Faizabad,"Pollution Abatement Works for River Saryu/Ghaghara at Faizabad town, District-Ayodhya (Interception & Diversion of Drains with 33 MLD STP)",NGP,HAM,06-May-2021,221.66,109.03,7.62,105.01,1,33.00,15,M/s Eco Protection Engineer Pvt Ltd,149.47,Completed
3,Baghpat,Baghpat,I&D and STP works at Bagpat,NGP,DBOT,19-Feb-2019,77.36,38.72,2.66,35.98,1,14.00,4,M/s ICPL-OASIS-LNA (JV),65.49,
4,Bareilly,Bareilly,Development of Sewage Treatment Plant at Bareilly,NGP,HAM,03-Jan-2019,271.39,139.44,10.70,121.25,3,63.00,15,M/s EIEPL Bareilly Infra Engineers Ltd,233.72,
5,Bulandshahr,Anupshehar,Anupshahar Sewerage Scheme,EAP,DBOT,19-May-2014,75.79,67.12,5.27,3.40,2,2.50,2,M/s Laxmi Construction & Co JV M/s Backcone Enterprises JV M/s Oasis OPC Solution,69.30,"Scheme Handed over to Local Bodies on dated 30.06.2024. After the said date, the operation and maintenance of the scheme is being done by Local Bodies."
6,Bulandshahr,Narora,Narora Sewerage Scheme,EAP,DBOT,04-Mar-2014,48.45,39.73,2.26,6.46,1,4.00,1,M/s EMS India Pvt Limited JV with M/s UEM India Pvt Ltd,37.73,Scheme Handed over to Local Bodies. The operation and maintenance of the scheme is being done by Local Bodies from 01.08.2025.
7,Etawah,Etawah,Etawah Sewerage Scheme ( Interception & Diversion Works) DIstt- Etawah,NGP1-NON EAP,DBOT,28-Feb-2019,140.60,56.85,3.90,79.85,1,21.00,2,M/s VVIP-BCPL Joint Venture,119.93,work completed. O&M in progress
8,Farrukhabad,Farrukhabad-Fatehgarh,I&D and STP works at Farrukhabad-Fatehgarh,NGP,HAM,09-Feb-2021,261.12,188.71,6.98,72.41,2,47.70,8,M/S HNB Engineers Private Ltd.,252.41,Work Completed. Operation and Maintenance works under progress by M/S HNB Eng. Pvt. Ltd. Pune.
9,Firozabad,Firozabad,Firozabad Sewerage Scheme ( Interception & Diversion Works)  Distt Firozabad,NGP1-NON EAP,DBOT,01-Mar-2019,51.08,23.92,1.63,25.53,0,0.00,4,M/s Shree- Tech Construction,42.43,work completed. O&M in progress
10,Ghazipur,Ghazipur,"Sewerage, Sewage Treatment & Disposal for Ghazipur, U.P.",NGP,HAM,06-May-2020,152.83,50.96,4.08,96.17,1,21.00,23,M/s Mirzapur Ghazipur STPs Private Limited,140.94,STP has been commissioned. Proposal of Additional cost implication approved by NMCG in EC meeting dt 13.02.2024. Work of TEPS and retaining wall is in progress. Works as per original agreement completed. Additional Work in progress
11,Hapur,Garmukteshwar,Garhmukteshwar Sewerage Scheme.,Non EAP,DBOT,24-Feb-2011,46.51,40.68,3.25,2.58,2,9.00,2,M/s Anandi Lal Lalpuriya JV M/s Krishna  Contractors JV M/s Khilari  SS,32.71,Work completed. O&M in progress
12,Jaunpur,Jaunpur,"Interception & Diversion  (I&D)  of Drains and Sewerage Treatment Plant at Jaunpur , U.P.",NGP,DBOT,12-Feb-2019,206.05,119.01,9.25,63.91,1,30.00,14,M/s SPML- PPPL JV,164.00,Project under O&M by UPJN(Rural)
13,Kannauj,Kannauj,Kannauj Sewerage Scheme Phase II,Non EAP,DBOT,24-Feb-2011,43.66,37.77,3.63,2.26,0,0.00,0,M/S Surendra Singh,39.65,"O&M works are being done by NPP, Kannauj."
14,Kanpur Nagar,Kanpur Nagar,I and D  of Sisamau and 5 other drains,NGP,DBOT,03-Oct-2016,63.80,57.63,4.61,1.55,0,0.00,3,M/S G.S.J. Envo Limited,57.12,O&M work is in progress by M/s KRMPL under One city One operator.
15,Kanpur Nagar,Kanpur Nagar,I&D and STP works at Kanpur-Pankha,NGP,HAM,12-Mar-2018,967.23,248.39,31.05,718.84,1,30.00,3,M/s Kanpur River Management Pvt. Ltd.,708.70,30 MLD STP Panka commissioned on dated 24.06.2023 and renovation work of 130 MLD STP Jajmau has been completed & COD issued on 17.10.2025. O&M work is in progress by M/s KRMPL under One city One operator.
16,Kanpur Nagar,Bithoor,Interception Diversion and Treatment works at Bithoor Town Kanpur,NGP,DBOT,16-Oct-2017,13.40,10.75,0.70,2.45,1,1.30,6,M/S C.S. ENTERPRISES,9.99,Operation & Maintenance work under progress by M/S CS Enterprises
17,Kanpur Nagar,Kanpur Nagar,Sewerage Works in Sewerage Dist 1 Kanpur,NGP,DBOT,18-Oct-2016,430.49,392.82,23.81,12.86,0,0.00,3,M/S Shrishti Sam Lain Yogi JV,418.31,Operation & Maintenance work under progress by M/s Shristi Sam lain Yogi (JV)
18,Kasganj,Kasganj,Interception & Diversion (I&D) of drains and Sewerage Treatment Plant at Kasganj,NGP1-NON EAP,DBOT,24-Dec-2018,76.73,36.60,2.49,37.64,1,15.00,2,M/s VVIP-BCPL Joint Venture,67.56,"* work completed. 
* O&M in progress"
19,Mathura,Mathura,Rehabilation / Upgradation of Mathura Sewerage Scheme,NGP1-NON EAP,HAM,13-Dec-2017,460.45,264.39,8.78,187.28,1,30.00,19,M/s MWMPL Pvt Ltd,437.95,Work completed O&M in progress
20,Mathura,Vrindavan,Rehabilitation of Sewerage Infrastructure and Augmentation/upgradation of STP at Vrindavan,NGP1-NON EAP,DBOT,29-Mar-2017,42.82,14.76,1.18,26.88,1,4.00,3,"M/s Hindustan Engineering, Lucknow",33.50,O&M  is Running
21,Mirzapur,Chunar,"Faecal Sludge Management for abatement of pollution in River Ganga at Chunar, Mirzapur, U.P.",NGP,DBOT,07-Mar-2019,2.70,1.93,0.29,0.48,0,0.00,14,M/S Elefo Biotech Pvt Limited,2.05,Project under O&M by UPJN(Rural)
22,Mirzapur,Mirzapur,"Interception & Diversion and STP at Mirzapur, U.P.",NGP,HAM,28-May-2020,129.08,50.50,4.04,73.06,2,17.00,18,M/s Mirzapur Ghazipur STPs Private Limited,151.58,Temporary arrangement for discharge of treated effluent into existing channel completed. Permission for discharge of treated effluent yet to be obtained. DGC denied recommendation for discharge in irrigation canal. Now location for discharge is identified 02 KM downstream of canal into Khajuri River for which draft variation proposal was sent to NMCG. In meeting dt 07.06.2024 under chairmanship of ED(P) NMCG it is directed to send the variation proposal through UPJN(HQ)/SMCG for approval which is submitted to CE(Ganga) on 14.06.2024 Works completed. Balance work shall be completed after approval of variation
23,Moradabad,Moradabad,Interception & Diversion (I&D) of Drains and Sewerage Treatment Plant at Moradabad zone 2,NGP,HAM,23-Jul-2018,118.69,53.53,3.52,61.64,1,25.00,5,Moradabad STP Pvt Ltd,113.85,STP under O&M
24,Moradabad,Moradabad,Prevention of Pollution of River Ramganga at Moradabad,Non EAP,DBOT,24-Feb-2011,330.03,278.85,19.03,32.17,1,58.00,14,M/s Larsen & Toubro Limited,244.00,Under O&M
25,Muzaffarnagar,Budhana,I&D and STP Work in Budhana Town,Non EAP,HAM,18-Feb-2019,48.76,25.10,1.70,21.96,1,10.00,3,M/S Muzaffarnagar STP Pvt Ltd,41.28,"Commercial Operation Date declared, Plant under O&M since 01.04.2024."
26,Muzaffarnagar,Muzzaffarnagar,I&D and STP Work in Muzaffarnagar,NGP,HAM,13-Jan-2020,234.03,108.32,7.33,118.36,2,54.50,5,M/S Muzaffarnagar STP Pvt Ltd,205.09,"22 MLD STP Sahawali: Commercial Operation Date declared, Plant under O&M since 01.04.2024. 32.5 MLD Kidwai Nagar:Commercial Operation Date declared, Plant under O&M since 01.07.2024."
27,PrayagRaj,Prayagraj,14 MLD Capacity STP at Salori Allahabad,NGRBA EAP,DBOT,09-Jul-2020,39.36,24.25,1.90,13.21,1,14.00,0,M/s UEM India Pvt Ltd,53.39,In O&M under UPJN (Urban)
28,PrayagRaj,"Naini, Jhunsi, Phaphamau","I&D and STP works for Naini (District-G) and Jhunsi works),  Phaphamau (District-F)",NGP,HAM,19-May-2019,767.59,280.14,21.66,465.79,3,72.00,18,M/s Prayagraj Water Private Limited,350.60,Under O&M
29,PrayagRaj,Prayagraj,Rehabilitation and Operation & Maintenance of existing Sewage Treatment Infrastructure at Allahabad Uttar Pradesh under Hybrid Annuity based PPP Mode,NGP,HAM,09-Mar-2018,904.00,58.15,0.00,845.85,0,0.00,16,M/s Prayagraj Water Private Limited,557.60,"Under O&M Rehabilitation of 3 no of STP of Capacity 29,60 and 60 MLD STP and associated MPS/SPS"
30,PrayagRaj,Prayagraj,Sewer Network in District E of Allahabad Part-II,NGRBA EAP,DBOT,28-Sep-2016,52.78,48.90,3.88,0.00,0,0.00,0,M/s EMS India Pvt Limited JV with M/s UEM India Pvt Ltd,46.69,
31,PrayagRaj,Prayagraj,Sewerage and Non Sewerage Schemes for Pollution abatement of River Ganga at Allahabad District B&EU.P,Non EAP,DBOT,06-May-2010,207.39,187.53,19.86,0.00,3,85.00,0,M/S HNB Engineers Private Ltd.,118.20,
32,PrayagRaj,Prayagraj,Sewerage and Non Sewerage Schemes for Pollution abatement of River Ganga at Allahabad U.P District A,EAP,DBOT,06-May-2010,97.95,97.95,0.00,0.00,1,20.00,0,M/s Ramky Infrastructure Ltd.,97.95,
33,PrayagRaj,Prayagraj,Sewerage Scheme for District A,NGRBA EAP,DBOT,11-Nov-2019,299.39,269.10,19.75,10.54,0,0.00,0,"M/s L&T Construction, WSW & C-IC, Network Project",292.29,Under O&M
34,PrayagRaj,Prayagraj,Sewerage Scheme for District B,NGRBA EAP,DBOT,11-Nov-2019,300.84,278.28,18.81,3.75,0,0.00,0,M/s EMS India Pvt Limited JV with M/s UEM India Pvt Ltd,280.86,Under O&M
35,PrayagRaj,Prayagraj,Sewerage Scheme for District C,NGRBA EAP,DBOT,13-Sep-2019,170.95,154.01,9.87,7.07,0,0.00,0,M/s Passavant Energy & Environment,165.41,Under O&M
36,PrayagRaj,Prayagraj,Sewerage work in Sewerage District E of Allahabad,NGRBA EAP,DBOT,22-Feb-2011,142.00,126.70,6.57,8.73,0,0.00,0,M/s UEM India Pvt Ltd,123.05,
37,Shamli,Kairana,I&D and STP Work in Kairana,CGF,DBOT,07-Dec-2020,78.42,37.28,2.63,38.51,1,15.00,1,M/s SIPL RKC JV,59.19,"Commercial Operation Date declared, Plant under O&M since 01.03.2025."
38,Sultanpur,Sultanpur,I&D of Drains and Sewerage Treatment Plant works with 15 Years O&M at Sultanpur,NGP,DBOT,24-Dec-2018,70.18,40.83,2.59,26.76,3,17.00,6,M/s EIEPL- ABI(JV),67.59,10 MLD Oxidation Pond upgradation completed. SCADA works under progress. 2 MLD STP work completed. SCADA wortks in progress 5MLD STP work completed. SCADA works under progress.
39,Unnao,Shuklaganj,I&D of Drains and STP works in Shuklaganj (05MLD),NGP,HAM,28-Jul-2017,65.18,25.93,1.90,37.35,1,5.00,5,M/s KRMPL Kanpur,38.87,"Total 7 drains are discharging into River Ganga in NPP Shuklaganj out of which 5 drains of discharge 4.66 MLD has to be Intercepted & Diverted to under Construction 5 MLD STP Shuklaganj and rest of the 02 drains of discharge 7.3 MLD has to be tapped & treated by U.P. J.N. (Urban) under SBM 2 programme. The work of tapping domestic sewage outflow through I&D was completed on 30.12.2025 by tapping 04 drains namely Indira Nagar, Manohar Nagar-1, Manohar Nagar-2 and Railway Bridge and trial run of the scheme has been started. The trial run of the scheme is to be done for 03 months, after which the operation of STP will start at full capacity. The work of cleaning 1.96 km drain and construction of Connecting Drain of 50 meters to bring 01 drain Ganga Vishnu Drain to I&D is to be done by M/s KRMPL"
40,Unnao,Unnao,I&D of Drains and STP works in Unnao (15MLD),NGP,HAM,28-Jul-2017,102.20,43.73,3.22,55.25,1,15.00,1,M/s KRMPL Kanpur,68.68,"The overall progress of the project is 99%. All works (Civil/Electrical & Mechanical) of the STP has been completed. Due to the rise in groundwater levels resulting from floods in the Ganga River and rainfall, the construction of the remaining 01 number of Manhole near the STP premises and the Dewatering work remained disrupted from August 2025 to January 2026. Against the Dewatering and dewatering works in 1200 mm RCC Pipe are in progress and dewatering work is being done in a length of 50 meters ahead of MH 37, which will be completed by the concessionaire M/s Kanpur River Management Pvt. Ltd., Kanpur by 15 June 2026"
41,Varanasi,Varanasi,"I&D and Treatment works for Assi-BHU Area (Phase-II), Varanasi",NGP,DBOT,19-Oct-2022,308.09,97.62,7.81,172.94,1,55.00,2,M/s Enviro Infra Engineers limited MTS JV,151.55,55 MLD STP has been  commissioned with the  flow of 8 MLD STP Bhagwanpur STP and IPS are commissioned Finishing works are in progress Power connection of MPS done. MPS shall be commissioned on 18.02.2026 STP under trial-run
